sku,total_rev,total_qty,description,cumrev,cumrev_pct,abc_class,CoV,xyz_class,active_month,abc_xyz
22423,339301.55,27181,REGENCY CAKESTAND 3 TIER,339301.55,1.74380883404185,A,0.5287519115871652,Y,22.0,AY
85123A,261331.39,95495,WHITE HANGING HEART T-LIGHT HOLDER,600632.94,3.0868972652454088,A,0.42836159186278516,X,25.0,AX
85099B,182428.54,97886,JUMBO BAG RED WHITE SPOTTY,783061.48,4.024471819895563,A,0.36725887666792867,X,25.0,AX
47566,148600.11000000002,28296,PARTY BUNTING,931661.59,4.788188297340452,A,0.7757007506807017,Y,25.0,AY
84879,131016.45999999999,81111,ASSORTED COLOUR BIRD ORNAMENT,1062678.05,5.461535237113909,A,0.5923924729100757,Y,25.0,AY
22086,117918.75,35072,PAPER CHAIN KIT 50'S CHRISTMAS,1180596.8,6.067567711616817,A,1.5506157435678867,Z,24.0,AZ
79321,83775.65000000001,16563,CHILLI LIGHTS,1264372.45,6.498124891646198,A,0.9540075116832466,Y,25.0,AY
23166,81492.97,77856,MEDIUM CERAMIC TOP STORAGE JAR,1345865.42,6.916950449614641,A,2.8423052696577487,Z,9.0,AZ
22386,76832.8,39733,JUMBO BAG PINK WITH WHITE SPOTS,1422698.22,7.311825496263177,A,0.45838109895118406,X,24.0,AX
22197,74324.08,82168,SMALL POPCORN HOLDER,1497022.3,7.693807209243957,A,0.7984596849713844,Y,23.0,AY
84347,72487.68,31842,ROTATING SILVER ANGELS T-LIGHT HLDR,1569509.98,8.066350914815589,A,2.0547972862895745,Z,24.0,AZ
20725,71789.2,40669,LUNCH BAG RED SPOTTY,1641299.18,8.435304847235873,A,0.33286037241853283,X,25.0,AX
85099F,68397.38,37083,JUMBO BAG STRAWBERRY,1709696.56,8.786826835477061,A,0.4397439391664108,X,25.0,AX
20685,67369.85,9911,RED SPOTTY COIR DOORMAT,1777066.4100000001,9.133067928622891,A,0.5931924234241056,Y,25.0,AY
48138,67301.98,10120,DOOR MAT UNION FLAG,1844368.3900000001,9.478960210201057,A,0.59886980288002,Y,25.0,AY
21843,65756.44,6226,RETRO SPOT CAKE STAND,1910124.83,9.816909332352555,A,0.5584988152076211,Y,25.0,AY
21137,63992.18,18448,BLACK RECORD COVER FRAME,1974117.01,10.14579120393138,A,0.9621647091275285,Y,25.0,AY
21931,61794.91,29324,JUMBO STORAGE BAG SUKI,2035911.92,10.463380410219477,A,0.328589031677611,X,25.0,AX
22502,61510.67,3869,PICNIC BASKET WICKER SMALL,2097422.59,10.779508791400856,A,0.5734188344585106,Y,17.0,AY
82484,60965.04,10728,WOOD BLACK BOARD ANT WHITE FINISH,2158387.63,11.092832957823658,A,0.9803661386971391,Y,21.0,AY
21621,60524.409999999996,6929,VINTAGE UNION JACK BUNTING,2218912.04,11.40389254724543,A,0.7398427106441163,Y,25.0,AY
22114,60397.54,11977,HOT WATER BOTTLE TEA AND SYMPATHY,2279309.58,11.714300100073869,A,1.1515374274696433,Z,21.0,AZ
85099C,59828.6,31070,JUMBO  BAG BAROQUE BLACK WHITE,2339138.18,12.021783638561555,A,0.34678845264459723,X,25.0,AX
22910,59697.76,18948,PAPER CHAIN KIT VINTAGE CHRISTMAS,2398835.94,12.328594737009263,A,1.1663170702126806,Z,16.0,AZ
23084,59392.94,27413,RABBIT NIGHT LIGHT,2458228.88,12.633839241349776,A,1.472863817301939,Z,8.0,AZ
22112,58430.22,11203,CHOCOLATE HOT WATER BOTTLE,2516659.1,12.934135935576515,A,1.1921244117287562,Z,25.0,AZ
15056N,58015.92,11303,EDWARDIAN PARASOL NATURAL,2574675.02,13.232303373394188,A,0.6849526511659693,Y,25.0,AY
22411,57547.590000000004,27420,JUMBO SHOPPER VINTAGE RED PAISLEY,2632222.61,13.528063872630982,A,0.42578576815735425,X,24.0,AX
22470,55687.57,18489,HEART OF WICKER LARGE,2687910.1799999997,13.81426497166022,A,0.6921207814511873,Y,21.0,AY
22189,53344.19,18003,CREAM HEART CARD HOLDER,2741254.3699999996,14.088422486610586,A,1.1369032281573441,Z,24.0,AZ
20914,53107.87,18895,SET/5 RED SPOTTY LID GLASS BOWLS,2794362.2399999998,14.361365456847963,A,0.4622590566955047,X,25.0,AX
21212,52637.01,96246,PACK OF 72 RETRO SPOT CAKE CASES,2846999.2499999995,14.631888485804206,A,0.37555436273929405,X,25.0,AX
22139,52270.64,10514,RETRO SPOT TEA SET CERAMIC 11 PC,2899269.8899999997,14.900528590139192,A,0.6271262290455719,Y,25.0,AY
22178,51885.21,39996,VICTORIAN GLASS HANGING T-LIGHT,2951155.0999999996,15.167187812751395,A,0.6105119624939285,Y,25.0,AY
21623,51544.33,7134,VINTAGE UNION JACK MEMOBOARD,3002699.4299999997,15.432095114232244,A,1.5119176617708763,Z,23.0,AZ
21733,50982.32,17796,RED HANGING HEART T-LIGHT HOLDER,3053681.7499999995,15.694114017464333,A,0.7262731834953949,Y,25.0,AY
22469,50948.729999999996,28938,HEART OF WICKER SMALL,3104630.4799999995,15.95596028800808,A,0.5793858944126885,Y,21.0,AY
84946,50631.16,37582,ANTIQUE SILVER TEA GLASS ETCHED,3155261.6399999997,16.216174437002646,A,0.6046345785137254,Y,25.0,AY
